Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB,Error_pct
2023,2,"aguascalientes, ags.",canada,mujer,18,7.474449,58.5
2023,3,"aguascalientes, ags.",canada,mujer,23,12.171845,47.1
2023,4,"aguascalientes, ags.",canada,mujer,22,19.067457,13.3
2023,5,"aguascalientes, ags.",canada,mujer,19,13.729797,27.7
2023,6,"aguascalientes, ags.",canada,mujer,3,11.455618,281.9
2023,7,"aguascalientes, ags.",canada,mujer,18,6.8595,61.9
2023,8,"aguascalientes, ags.",canada,mujer,18,12.460216,30.8
2023,9,"aguascalientes, ags.",canada,mujer,10,10.133312,1.3
2023,10,"aguascalientes, ags.",canada,mujer,24,15.026775,37.4
2023,11,"aguascalientes, ags.",canada,mujer,11,17.350592,57.7
2023,12,"aguascalientes, ags.",canada,mujer,24,12.951223,46.0
2023,8,"aguascalientes, ags.","checa, rep.",hombre,1,1.3528285,35.3
2023,8,"aguascalientes, ags.","checa, rep.",mujer,1,1.2481544,24.8
2023,4,"aguascalientes, ags.",chile,hombre,1,1.405537,40.6
2023,5,"aguascalientes, ags.",chile,hombre,1,1.4810009,48.1
2023,8,"aguascalientes, ags.",chile,hombre,2,1.4932952,25.3
2023,9,"aguascalientes, ags.",chile,hombre,1,1.5735102,57.4
2023,11,"aguascalientes, ags.",chile,hombre,1,1.4706076,47.1
2023,4,"aguascalientes, ags.",chile,mujer,1,1.5694472,56.9
2023,10,"aguascalientes, ags.",chile,mujer,1,1.2853502,28.5
2023,1,"aguascalientes, ags.",china,hombre,1,2.1924834,119.2
2023,2,"aguascalientes, ags.",china,hombre,5,2.1920702,56.2
2023,3,"aguascalientes, ags.",china,hombre,8,2.2753031,71.6
2023,4,"aguascalientes, ags.",china,hombre,12,4.905281,59.1
2023,5,"aguascalientes, ags.",china,hombre,7,5.2865243,24.5
2023,6,"aguascalientes, ags.",china,hombre,10,5.4119573,45.9
2023,7,"aguascalientes, ags.",china,hombre,5,7.006612,40.1
2023,8,"aguascalientes, ags.",china,hombre,12,4.4876986,62.6
2023,9,"aguascalientes, ags.",china,hombre,11,6.3993654,41.8
2023,10,"aguascalientes, ags.",china,hombre,17,6.3169956,62.8
2023,11,"aguascalientes, ags.",china,hombre,30,8.79603,70.7
2023,12,"aguascalientes, ags.",china,hombre,16,9.436632,41.0
2023,3,"aguascalientes, ags.",china,mujer,1,1.6693014,66.9
2023,4,"aguascalientes, ags.",china,mujer,3,1.5598143,48.0
2023,5,"aguascalientes, ags.",china,mujer,1,1.9903957,99.0
2023,6,"aguascalientes, ags.",china,mujer,7,1.8378592,73.7
2023,7,"aguascalientes, ags.",china,mujer,2,2.7494307,37.5
2023,8,"aguascalientes, ags.",china,mujer,2,2.390167,19.5
2023,9,"aguascalientes, ags.",china,mujer,3,2.479995,17.3
2023,10,"aguascalientes, ags.",china,mujer,7,1.9653894,71.9
2023,11,"aguascalientes, ags.",china,mujer,8,2.8041596,64.9
2023,12,"aguascalientes, ags.",china,mujer,1,3.4980202,249.8
2023,1,"aguascalientes, ags.",colombia,hombre,2,1.3464879,32.7
2023,2,"aguascalientes, ags.",colombia,hombre,1,1.3233823,32.3
2023,4,"aguascalientes, ags.",colombia,hombre,3,1.6456177,45.1
2023,5,"aguascalientes, ags.",colombia,hombre,1,1.9488354,94.9
2023,9,"aguascalientes, ags.",colombia,hombre,2,1.6940345,15.3
2023,12,"aguascalientes, ags.",colombia,hombre,2,1.6007746,20.0
2023,1,"aguascalientes, ags.",colombia,mujer,1,1.2129225,21.3
2023,4,"aguascalientes, ags.",colombia,mujer,1,1.4380883,43.8
2023,5,"aguascalientes, ags.",colombia,mujer,1,1.3458656,34.6
2023,6,"aguascalientes, ags.",colombia,mujer,2,1.2476223,37.6
2023,8,"aguascalientes, ags.",colombia,mujer,1,1.4986763,49.9
2023,10,"aguascalientes, ags.",colombia,mujer,2,1.5261087,23.7
2023,1,"aguascalientes, ags.","corea, rep. (sur)",hombre,5,1.9367073,61.3
2023,2,"aguascalientes, ags.","corea, rep. (sur)",hombre,7,2.611033,62.7
2023,4,"aguascalientes, ags.","corea, rep. (sur)",hombre,3,3.7483523,24.9
