Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB_Mejorado,Error_pct
2023,3,"aguascalientes, ags.",canada,hombre,25,26.262794,5.1
2023,4,"aguascalientes, ags.",canada,hombre,26,24.870146,4.3
2023,5,"aguascalientes, ags.",canada,hombre,32,19.148003,40.2
2023,6,"aguascalientes, ags.",canada,hombre,10,13.624267,36.2
2023,7,"aguascalientes, ags.",canada,hombre,19,15.126017,20.4
2023,8,"aguascalientes, ags.",canada,hombre,40,22.478067,43.8
2023,9,"aguascalientes, ags.",canada,hombre,21,23.530443,12.0
2023,10,"aguascalientes, ags.",canada,hombre,40,28.926891,27.7
2023,11,"aguascalientes, ags.",canada,hombre,30,41.818516,39.4
2023,12,"aguascalientes, ags.",canada,hombre,46,29.000832,37.0
2023,1,"aguascalientes, ags.",canada,mujer,17,10.349847,39.1
2023,2,"aguascalientes, ags.",canada,mujer,18,11.70105,35.0
2023,3,"aguascalientes, ags.",canada,mujer,23,15.786272,31.4
2023,4,"aguascalientes, ags.",canada,mujer,22,20.958635,4.7
2023,5,"aguascalientes, ags.",canada,mujer,19,15.293841,19.5
2023,6,"aguascalientes, ags.",canada,mujer,3,9.797987,226.6
2023,7,"aguascalientes, ags.",canada,mujer,18,9.822281,45.4
2023,8,"aguascalientes, ags.",canada,mujer,18,16.349766,9.2
2023,9,"aguascalientes, ags.",canada,mujer,10,10.916623,9.2
2023,10,"aguascalientes, ags.",canada,mujer,24,18.653566,22.3
2023,11,"aguascalientes, ags.",canada,mujer,11,17.292751,57.2
2023,12,"aguascalientes, ags.",canada,mujer,24,14.322457,40.3
2023,8,"aguascalientes, ags.","checa, rep.",hombre,1,1.3708674,37.1
2023,8,"aguascalientes, ags.","checa, rep.",mujer,1,1.2725707,27.3
2023,4,"aguascalientes, ags.",chile,hombre,1,1.3923359,39.2
2023,5,"aguascalientes, ags.",chile,hombre,1,1.5168821,51.7
2023,8,"aguascalientes, ags.",chile,hombre,2,1.4722695,26.4
2023,9,"aguascalientes, ags.",chile,hombre,1,1.5456439,54.6
2023,11,"aguascalientes, ags.",chile,hombre,1,1.4398174,44.0
2023,4,"aguascalientes, ags.",chile,mujer,1,1.6128207,61.3
2023,10,"aguascalientes, ags.",chile,mujer,1,1.2547852,25.5
2023,1,"aguascalientes, ags.",china,hombre,1,3.1506135,215.1
2023,2,"aguascalientes, ags.",china,hombre,5,3.3908598,32.2
2023,3,"aguascalientes, ags.",china,hombre,8,3.3931384,57.6
2023,4,"aguascalientes, ags.",china,hombre,12,6.3380136,47.2
2023,5,"aguascalientes, ags.",china,hombre,7,7.980707,14.0
2023,6,"aguascalientes, ags.",china,hombre,10,7.023332,29.8
2023,7,"aguascalientes, ags.",china,hombre,5,8.11047,62.2
2023,8,"aguascalientes, ags.",china,hombre,12,6.883321,42.6
2023,9,"aguascalientes, ags.",china,hombre,11,10.381936,5.6
2023,10,"aguascalientes, ags.",china,hombre,17,9.8195,42.2
2023,11,"aguascalientes, ags.",china,hombre,30,15.043516,49.9
2023,12,"aguascalientes, ags.",china,hombre,16,13.608147,14.9
2023,3,"aguascalientes, ags.",china,mujer,1,2.3634,136.3
2023,4,"aguascalientes, ags.",china,mujer,3,2.0799043,30.7
2023,5,"aguascalientes, ags.",china,mujer,1,2.047059,104.7
2023,6,"aguascalientes, ags.",china,mujer,7,2.040794,70.8
2023,7,"aguascalientes, ags.",china,mujer,2,2.9428048,47.1
2023,8,"aguascalientes, ags.",china,mujer,2,2.8468752,42.3
2023,9,"aguascalientes, ags.",china,mujer,3,3.1606076,5.4
2023,10,"aguascalientes, ags.",china,mujer,7,2.3509772,66.4
2023,11,"aguascalientes, ags.",china,mujer,8,3.4675434,56.7
2023,12,"aguascalientes, ags.",china,mujer,1,4.23146,323.1
2023,1,"aguascalientes, ags.",colombia,hombre,2,1.4447546,27.8
2023,2,"aguascalientes, ags.",colombia,hombre,1,1.3940821,39.4
2023,4,"aguascalientes, ags.",colombia,hombre,3,1.7162123,42.8
2023,5,"aguascalientes, ags.",colombia,hombre,1,1.835804,83.6
2023,9,"aguascalientes, ags.",colombia,hombre,2,1.8154985,9.2
2023,12,"aguascalientes, ags.",colombia,hombre,2,1.6055741,19.7
2023,1,"aguascalientes, ags.",colombia,mujer,1,1.2695805,27.0
2023,4,"aguascalientes, ags.",colombia,mujer,1,1.4242796,42.4
2023,5,"aguascalientes, ags.",colombia,mujer,1,1.3215315,32.2
2023,6,"aguascalientes, ags.",colombia,mujer,2,1.2076272,39.6
2023,8,"aguascalientes, ags.",colombia,mujer,1,1.4906065,49.1
2023,10,"aguascalientes, ags.",colombia,mujer,2,1.6382794,18.1
2023,1,"aguascalientes, ags.","corea, rep. (sur)",hombre,5,2.7770543,44.5
2023,2,"aguascalientes, ags.","corea, rep. (sur)",hombre,7,3.603153,48.5
2023,4,"aguascalientes, ags.","corea, rep. (sur)",hombre,3,4.6231313,54.1
2023,5,"aguascalientes, ags.","corea, rep. (sur)",hombre,4,3.7243438,6.9
2023,6,"aguascalientes, ags.","corea, rep. (sur)",hombre,3,3.4129622,13.8
2023,7,"aguascalientes, ags.","corea, rep. (sur)",hombre,7,3.221776,54.0
2023,8,"aguascalientes, ags.","corea, rep. (sur)",hombre,1,3.7732482,277.3
2023,9,"aguascalientes, ags.","corea, rep. (sur)",hombre,3,3.1762364,5.9
2023,10,"aguascalientes, ags.","corea, rep. (sur)",hombre,8,3.5002556,56.2
2023,11,"aguascalientes, ags.","corea, rep. (sur)",hombre,2,3.8685195,93.4
2023,12,"aguascalientes, ags.","corea, rep. (sur)",hombre,5,3.326025,33.5
2023,3,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.646929,64.7
2023,5,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.5039699,50.4
2023,6,"aguascalientes, ags.","corea, rep. (sur)",mujer,2,1.4808323,26.0
2023,7,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.7347424,73.5
2023,8,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.6505044,65.1
2023,10,"aguascalientes, ags.","corea, rep. (sur)",mujer,1,1.6831185,68.3
2023,6,"aguascalientes, ags.",costa rica,hombre,1,1.3519149,35.2
2023,3,"aguascalientes, ags.",croacia,hombre,2,1.2271892,38.6
2023,8,"aguascalientes, ags.",dinamarca,hombre,1,1.6569189,65.7
2023,9,"aguascalientes, ags.",dinamarca,hombre,1,1.5428342,54.3
2023,11,"aguascalientes, ags.",dinamarca,hombre,3,1.6866597,43.8
2023,12,"aguascalientes, ags.",dinamarca,hombre,2,1.5732546,21.3
2023,11,"aguascalientes, ags.",dinamarca,mujer,2,1.3110664,34.4
2023,12,"aguascalientes, ags.",dinamarca,mujer,2,1.2991189,35.0
2023,4,"aguascalientes, ags.","dominicana, rep.",hombre,1,1.6315968,63.2
2023,8,"aguascalientes, ags.","dominicana, rep.",hombre,1,1.4453244,44.5
2023,6,"aguascalientes, ags.","dominicana, rep.",mujer,1,1.355361,35.5
2023,1,"aguascalientes, ags.",ecuador,hombre,2,1.3862078,30.7
2023,2,"aguascalientes, ags.",ecuador,hombre,1,1.5445896,54.5
2023,4,"aguascalientes, ags.",ecuador,hombre,2,1.6444662,17.8
2023,12,"aguascalientes, ags.",ecuador,hombre,2,1.4505578,27.5
2023,5,"aguascalientes, ags.",ecuador,mujer,1,1.2549332,25.5
2023,11,"aguascalientes, ags.",el salvador,hombre,1,1.3349086,33.5
2023,2,"aguascalientes, ags.",el salvador,mujer,1,1.1918008,19.2
2023,5,"aguascalientes, ags.",el salvador,mujer,1,1.2237552,22.4
2023,9,"aguascalientes, ags.",el salvador,mujer,1,1.2546372,25.5
2023,11,"aguascalientes, ags.",el salvador,mujer,2,1.2849475,35.8
2023,1,"aguascalientes, ags.",espana,hombre,2,4.8405952,142.0
2023,2,"aguascalientes, ags.",espana,hombre,1,3.1499376,215.0
2023,3,"aguascalientes, ags.",espana,hombre,4,2.3963265,40.1
2023,4,"aguascalientes, ags.",espana,hombre,4,2.7270114,31.8
2023,5,"aguascalientes, ags.",espana,hombre,3,3.156232,5.2
2023,6,"aguascalientes, ags.",espana,hombre,4,2.8782,28.0
2023,7,"aguascalientes, ags.",espana,hombre,8,3.4952145,56.3
2023,8,"aguascalientes, ags.",espana,hombre,4,5.0447206,26.1
2023,9,"aguascalientes, ags.",espana,hombre,4,4.670406,16.8
2023,10,"aguascalientes, ags.",espana,hombre,5,6.56493,31.3
2023,11,"aguascalientes, ags.",espana,hombre,4,4.0604234,1.5
2023,12,"aguascalientes, ags.",espana,hombre,2,3.9107895,95.5
2023,3,"aguascalientes, ags.",espana,mujer,2,2.6717057,33.6
2023,4,"aguascalientes, ags.",espana,mujer,3,2.9133685,2.9
2023,5,"aguascalientes, ags.",espana,mujer,3,2.4358034,18.8
2023,6,"aguascalientes, ags.",espana,mujer,1,2.1554115,115.5
2023,7,"aguascalientes, ags.",espana,mujer,5,2.3420613,53.2
2023,8,"aguascalientes, ags.",espana,mujer,3,2.8852267,3.8
2023,10,"aguascalientes, ags.",espana,mujer,2,2.7453234,37.3
2023,11,"aguascalientes, ags.",espana,mujer,3,3.8093762,27.0
2023,12,"aguascalientes, ags.",espana,mujer,4,2.408127,39.8
2023,1,"aguascalientes, ags.",estados unidos,hombre,2244,2475.4915,10.3
2023,2,"aguascalientes, ags.",estados unidos,hombre,2037,2058.3066,1.0
2023,3,"aguascalientes, ags.",estados unidos,hombre,2473,2145.9365,13.2
2023,4,"aguascalientes, ags.",estados unidos,hombre,2847,2667.7888,6.3
2023,5,"aguascalientes, ags.",estados unidos,hombre,3060,2641.3025,13.7
